#-------------------------------------------
# Food Diary Report - Detailed Report,"miércoles, septiembre 1, 2021","jueves, septiembre 30, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Promedio Diario,Cals ( kcal),Grasa( g),Carbh( g),Prot( g)
Total,1561,"75,91",139,"74,08"
Desayuno,313,"18,97","22,12","12,93"
Almuerzo,484,"23,17","42,52","26,65"
Cena,458,"21,24","43,5","22,28"
Pasa Bocas / Otros,306,"12,53","30,86","12,21"

#-------------------------------------------
# Report Details
#-------------------------------------------
Fecha,Cals ( kcal),Grasa( g),Sat( g),Carbh( g),Fibra( g),Az&#250;car( g),Prot( g),Sod( mg),Coles( mg),Potasio( mg)
  Président Medallones de Queso de Cabra,48,"3,8","2,6","0,36",,"0,36","3,2",240,,
   20 g
 Pasa Bocas / Otros,,,,,,,,,,

"domingo, septiembre 5, 2021",2017,"82,53","28,782","223,81","11,64","111,05","92,42","1991,44",604,1474
 Desayuno,253,"5,12","3,04",38,"2,36","22,32","12,64","102,44",,
  Chocapic Chocapic,157,"1,92","0,8","30,48","2,36","14,8","3,36","0,04",,
   40 g
  Hacendado Yogur Griego Ligero Natural,96,"3,2","2,24","7,52",,"7,52","9,28","102,4",,
   160 g
 Almuerzo,571,"19,85","8,688","63,47","3,6","26,94","33,37",1024,89,863
  Hacendado Panecillos Tostados Integrales,146,"2,9","1,3","24,6","2,3","2,1","4,2",400,,
"   4 panecillos, 36 g"
  Muslo de Pollo Asado a la Parrilla o al Horno,146,"7,52","2,057",0,0,0,"18,22",280,61,154
"   1 grande (cocido, deshuesado)"
  Papa al Horno (sin Comer la Cáscara),69,"0,08","0,019","16,04","1,1","1,27","1,46",215,0,291
   75 g
  FuturNatillas de Avena,210,"9,35","5,312","22,83","0,2","23,57","9,49",129,28,418
   1 porción
 Cena,710,"37,77","12,378","50,85","3,18","27,29","40,84",610,515,507
  Tortilla de Patatas,297,"16,35","4,637","21,85","1,9","5,07","15,65",302,422,507
   2 grandes
  Pincho Moruno,293,"20,7","7,421","1,25","0,7","0,1","24,14",208,93,
   1 pincho
  Hacendado Panecillos Tostados Integrales,36,"0,72","0,32","6,15","0,58","0,52","1,05",100,,
"   1/4 x 4 panecillos, 9 g"
  Coca-Cola Coca-Cola,84,0,0,"21,6",0,"21,6",0,0,,
   200 ml
 Pasa Bocas / Otros,483,"19,79","4,676","71,49","2,5","34,5","5,57",255,0,104
  Galleta de Avena,483,"19,79","4,676","71,49","2,5","34,5","5,57",255,0,104
"   8 medianas (6,5 cm de diámetro)"

"lunes, septiembre 6, 2021",1606,"94,69","32,147","128,95","13,55","44,04","58,16","2471,38",372,257
 Desayuno,355,27,"8,242","14,79","4,1","10,81","15,38","105,6",0,110
  Hacendado Yogur Griego Ligero Natural,99,"3,3","2,31","7,76",,"7,76","9,57","105,6",,
   165 g
  Hacendado Chocolate Negro 85% (8g),92,"7,4","4,4","3,6","2,4","2,4",2,0,,
"   2 x 1 porción, 16 g"
  Nueces,164,"16,3","1,532","3,43","1,7","0,65","3,81",0,0,110
   25 g
 Almuerzo,654,"37,1","13,148","52,78","3,63","30,73","26,57","1483,8",372,111
  Gazpacho Casero,280,"15,64","2,584","32,23","3,5","14,45","4,3",1226,1,
   470 g
  Huevo Cocido,136,"9,3","2,864","0,99",0,"0,99","11,03",245,371,111
   2 medianos
  Cola Cao Cola Cao 0%,36,"0,64","0,02","4,84","0,13","0,57","1,32",0,,
   11 g
  Central Lechera Asturiana Leche UHT Entera,202,"11,52","7,68","14,72",0,"14,72","9,92","12,8",,
   320 ml
 Cena,239,"14,09","8,807","13,38","3,2","2,12","13,29",881,0,36
  Eroski Tostadas de Centeno y Sésamo,76,"1,52","0,22","11,6",3,"0,54","2,6",88,,
   20 g
  Président Medallones de Queso de Cabra,160,"12,54","8,58","1,19",,"1,19","10,56",792,,
   66 g
  Tomates,3,"0,03","0,007","0,59","0,2","0,39","0,13",1,0,36
   1 rebanada delgada/pequeña
 Pasa Bocas / Otros,358,"16,5","1,95",48,"2,62","0,38","2,92","0,98",,
  Grefusa Papadelta,358,"16,5","1,95",48,"2,62","0,38","2,92","0,98",,
   75 g

"martes, septiembre 7, 2021",2038,"92,59","39,652","207,35","7,59","37,42","70,68","2487,4",115,88
 Desayuno,897,"58,64","26,525","61,14","4,15","14,02","32,75","1433,2",0,88
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
  DIA Yogur Estilo Griego Natural,258,22,"14,8","8,2",,"8,2","6,6","0,2",,
   200 g
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
  Wetaca Wok de Cerdo y Verduras con Noodles ,391,"14,4","4,9","46,4","2,85","3,1","20,6",1433,,
"   1/2 x 1 porción, 250 g"
 Almuerzo,,,,,,,,,,
 Cena,488,"18,39","3,487","59,01","3,2","3,96","21,53","1038,2",115,
  VICI Gyoza de Pollo,175,"4,2","0,7","21,8",0,"0,2","11,6","1,2",,
   100 g
  Rollito de Verduras Primavera,313,"14,19","2,787","37,21","3,2","3,76","9,93",1037,115,
   5 rollitos primavera
 Pasa Bocas / Otros,653,"15,56","9,64","87,2","0,24","19,44","16,4",16,,
  Cola Cao Cola Cao 0%,65,"1,16","0,04","8,8","0,24","1,04","2,4",0,,
   20 g
  Central Lechera Asturiana Leche UHT Entera,252,"14,4","9,6","18,4",0,"18,4","12,4",16,,
   400 ml
  Amstel Radler,336,0,,60,,,"1,6",,,
   800 ml

"miércoles, septiembre 8, 2021",1434,"76,73","34,651","125,27",5,"71,63","56,75",653,17,801
 Desayuno,317,"25,34","6,825","12,44","1,3","2,72","9,85",0,0,88
  DIA Yogur Natural,69,"3,1",,"5,9",,,"4,3",,,
"   1 porción, 125 g"
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
 Almuerzo,,,,,,,,,,
 Cena,73,"0,41","0,11","17,54","1,9","16,9","1,81",34,0,574
  Melón ,73,"0,41","0,11","17,54","1,9","16,9","1,81",34,0,574
   215 g
 Pasa Bocas / Otros,1044,"50,98","27,716","95,29","1,8","52,01","45,09",619,17,139
  Sandwich,252,"12,08","3,616","27,29","1,2","3,41","8,09",579,17,139
   1 sánduche
  Central Lechera Asturiana Leche UHT Entera,630,36,24,46,0,46,31,40,,
   1.000 ml
  Cola Cao Cola Cao 0%,162,"2,9","0,1",22,"0,6","2,6",6,0,,
   50 g

"jueves, septiembre 9, 2021",1514,"86,9","36,464","139,63","12,58","52,48","40,44","872,35",0,905
 Desayuno,,,,,,,,,,
 Almuerzo,527,"40,43","23,674","28,17","3,4","25,48","15,78","855,17",0,905
  Tomates,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 g
  Galbani Burrata,384,36,"22,5",3,,3,12,810,,
   150 g
  Italiamo Pesto Verde,40,"3,75",1,"0,85",,"0,2","0,8","0,17",,
   10 g
  Melón ,85,"0,48","0,128","20,4","2,2","19,65","2,1",40,0,668
   250 g
 Cena,,,,,,,,,,
 Pasa Bocas / Otros,987,"46,47","12,79","111,46","9,18",27,"24,66","17,18",,
  Risi MIOS! Adult Snack Chips de Maiz y Chia,206,"9,6","0,96","25,76","2,4","0,52","2,96","0,28",,
   40 g
  Cola Cao Cola Cao 0%,49,"0,87","0,03","6,6","0,18","0,78","1,8",0,,
   15 g
