#-------------------------------------------
# Food Diary Report - Detailed Report,"miércoles, septiembre 1, 2021","jueves, septiembre 30, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Promedio Diario,Cals ( kcal),Grasa( g),Carbh( g),Prot( g)
Total,1561,"75,91",139,"74,08"
Desayuno,313,"18,97","22,12","12,93"
Almuerzo,484,"23,17","42,52","26,65"
Cena,458,"21,24","43,5","22,28"
Pasa Bocas / Otros,306,"12,53","30,86","12,21"

#-------------------------------------------
# Report Details
#-------------------------------------------
Fecha,Cals ( kcal),Grasa( g),Sat( g),Carbh( g),Fibra( g),Az&#250;car( g),Prot( g),Sod( mg),Coles( mg),Potasio( mg)
 Desayuno,347,"11,04","6,76","49,14","2,95","29,54","11,64","312,05",,
  Chocapic Chocapic,196,"2,4",1,"38,1","2,95","18,5","4,2","0,05",,
   50 g
  Hacendado Leche Entera,151,"8,64","5,76","11,04",,"11,04","7,44",312,,
   240 ml
 Almuerzo,445,"17,3","4,343","46,61","16,2","6,22","28,42",951,371,111
  Guiso de Lentejas,309,8,"1,479","45,62","16,2","5,23","17,39",706,0,
   1 porción (244 g)
  Huevo Cocido,136,"9,3","2,864","0,99",0,"0,99","11,03",245,371,111
   2 medianos
 Cena,661,"28,99","12,837","68,65","6,9","32,96","26,35",858,46,
  Hacendado Tortillas Integrales,208,"4,4","1,2",32,"5,2",2,"6,8",400,,
"   2 x 1 tortilla, 72 g"
  Pechuga de Pollo a la Plancha,67,"1,05","0,291",0,0,0,"13,43",89,35,
   60 g
  Pimientos Verdes Fritos,75,"5,69","1,246","5,15","0,7","1,11","1,22",89,11,
   50 g
  Hacendado Salsa Mexicana,19,"0,05",0,"3,4",,"2,05","0,7",180,,
   50 g
  Hacendado Almendrado,292,"17,8","10,1","28,1",1,"27,8","4,2",100,,
"   1 helado, 90 g"
 Pasa Bocas / Otros,480,20,12,69,2,21,6,20,,
  DIA Galletas Pastas,480,20,12,69,2,21,6,20,,
"   10 x 1 galleta, 100 g"

"domingo, septiembre 19, 2021",2389,"98,07","40,4","290,43","19,37","122,69","87,36","2608,13",463,1155
 Desayuno,335,"10,32","6,28","48,22","2,95","28,62","11,02","286,05",,
  Chocapic Chocapic,196,"2,4",1,"38,1","2,95","18,5","4,2","0,05",,
   50 g
  Hacendado Leche Entera,139,"7,92","5,28","10,12",,"10,12","6,82",286,,
   220 ml
 Almuerzo,491,"11,61","5,934","57,05","2,6","26,27","39,48",767,98,1039
  Pechuga de Pollo a la Plancha,134,"2,1","0,581",0,0,0,"26,87",179,70,
   120 g
  Papa al Horno (sin Comer la Cáscara),147,"0,16","0,041","34,22","2,4","2,7","3,12",459,0,621
   160 g
  FuturNatillas de Avena,210,"9,35","5,312","22,83","0,2","23,57","9,49",129,28,418
   1 porción
 Cena,1129,"64,62","21,406","117,89","9,4","29,93","23,74",1269,365,116
  Patatas Fritas,682,"35,07","8,036","89,05","8,4","1,47","8,69",755,0,
   250 g
  Huevo Frito,155,"11,75","3,27","0,74",0,"0,66","10,85",414,365,116
   2 medianos
  Hacendado Almendrado,292,"17,8","10,1","28,1",1,"27,8","4,2",100,,
"   1 helado, 90 g"
 Pasa Bocas / Otros,434,"11,52","6,78","67,27","4,42","37,87","13,12","286,08",,
  Chocapic Chocapic,295,"3,6","1,5","57,15","4,42","27,75","6,3","0,08",,
   75 g
  Hacendado Leche Entera,139,"7,92","5,28","10,12",,"10,12","6,82",286,,
   220 ml

"lunes, septiembre 20, 2021",1509,"54,75","23,683","166,16","8,84","44,15","84,52",2275,188,1214
 Desayuno,317,"15,56","9,64","27,2","0,24","19,44","14,8",16,,
  Cola Cao Cola Cao 0%,65,"1,16","0,04","8,8","0,24","1,04","2,4",0,,
   20 g
  Central Lechera Asturiana Leche UHT Entera,252,"14,4","9,6","18,4",0,"18,4","12,4",16,,
   400 ml
 Almuerzo,418,"5,07","1,509","52,34","4,4","20,15","41,14",636,137,1214
  Papa al Horno (sin Comer la Cáscara),147,"0,16","0,041","34,22","2,4","2,7","3,12",459,0,621
   160 g
  Melón ,75,"0,42","0,113","18,12",2,"17,45","1,86",36,0,593
   222 g
  Solomillo de Ternera,196,"4,49","1,355",0,0,0,"36,16",141,137,
   180 g
 Cena,774,"34,12","12,534","86,62","4,2","4,56","28,58",1623,51,
  Pizza Casera,774,"34,12","12,534","86,62","4,2","4,56","28,58",1623,51,
   300 g
 Pasa Bocas / Otros,,,,,,,,,,

"martes, septiembre 21, 2021",1342,"56,39","22,533","91,33","8,9","73,07","92,19","1601,08",130,1624
 Desayuno,300,19,"5,295","12,15","1,6","7,62","22,27","191,48",0,88
  Pastoret Yoghourt Artesanal con Leche de Vacas de Pasto Natural,113,"5,42","3,72","8,52",,"6,51","7,44",155,,
   155 g
  Optimum Nutrition Gold Standard Whey,56,"0,54","0,35","0,89","0,3","0,59","11,78","36,48",,
   15 g
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
 Almuerzo,288,"15,73","7,967","28,24","3,9","25,18","12,31",708,0,694
  Melón ,88,"0,49","0,133","21,22","2,3","20,44","2,18",42,0,694
   260 g
  Tomates Cherry,18,"0,2","0,047",4,"1,2","2,68","0,9",5,0,
   6 cerezas
  Pepino,9,"0,09","0,016","2,03","0,4","1,07","0,43",1,0,
   70 g
  Président Medallones de Queso de Cabra,133,"10,45","7,15","0,99",,"0,99","8,8",660,,
   55 g
  Aceite de Oliva,40,"4,5","0,621",0,0,0,0,0,0,0
   1 cucharadita
 Cena,360,"12,52","3,486","11,44","2,8","5,34","49,07",662,130,842
  Pollitos primavera,360,"12,52","3,486","11,44","2,8","5,34","49,07",662,130,842
   1 porción
 Pasa Bocas / Otros,394,"9,14","5,785","39,5","0,6","34,93","8,54","39,6",0,
  Mojito,217,"0,04","0,005","24,94","0,5","23,47","0,14",30,0,
   1 coctel
  Cola Cao Cola Cao 0%,26,"0,46","0,02","3,52","0,1","0,42","0,96",0,,
   8 g
  Central Lechera Asturiana Leche UHT Entera,151,"8,64","5,76","11,04",0,"11,04","7,44","9,6",,
   240 ml

"miércoles, septiembre 22, 2021",1687,"88,28","31,929","106,1","18,92","16,93","110,57",2560,513,1035
 Desayuno,361,"27,66","10,545","15,06","1,3","9,23","12,99",155,0,88
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
  Pastoret Yoghourt Artesanal con Leche de Vacas de Pasto Natural,113,"5,42","3,72","8,52",,"6,51","7,44",155,,
   155 g
 Almuerzo,365,"14,02","2,892","30,94","13,12","2,57","23,98",708,371,111
  Carrefour Garbanzos Cocidos,218,"4,6",0,"27,6","12,42",0,"12,42",460,,
   230 g
  Tomates Cherry,11,"0,12","0,028","2,35","0,7","1,58","0,53",3,0,
   60 g
  Huevo Cocido,136,"9,3","2,864","0,99",0,"0,99","11,03",245,371,111
   2 medianos
 Cena,849,"45,73","17,922","58,75","4,5","3,99","48,85",1697,142,836
  Burrito de Carne,361,"16,71","5,847","28,24","1,7","1,06","22,51",657,61,327
   1/2 porción (238 g)
  Quesadilla de Carne y Queso,298,"17,59","8,151","18,53","1,2","0,93","15,87",689,49,194
   1/2 quesadilla
"  Ensalada de Tacos o Tostadas con Carne de Res, Queso y Totopos de Maíz",190,"11,43","3,924","11,98","1,6",2,"10,47",351,32,315
   1 porción (122 g)
 Pasa Bocas / Otros,112,"0,87","0,57","1,35",0,"1,14","24,75",,,
  Optimum Nutrition 100% Whey Gold Standard,112,"0,87","0,57","1,35",0,"1,14","24,75",,,
   30 g

"jueves, septiembre 23, 2021",1696,"68,19","32,235","167,47","19,22","36,59","96,64",2293,0,88
 Desayuno,368,"28,02","10,785","15,62","1,3","9,65","13,47",165,0,88
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
  Pastoret Yoghourt Artesanal con Leche de Vacas de Pasto Natural,120,"5,78","3,96","9,08",,"6,93","7,92",165,,
   165 g
 Almuerzo,460,"23,6",13,"29,4","12,42","1,8","28,42",1660,,
  Carrefour Garbanzos Cocidos,218,"4,6",0,"27,6","12,42",0,"12,42",460,,
   230 g
  Président Medallones de Queso de Cabra,242,19,13,"1,8",,"1,8",16,1200,,
   100 g
 Cena,567,"4,9","0,68","107,3","5,5","10,2","20,7",456,,
  Garofalo Tagliatelle Nido,491,"1,4","0,28",98,"4,2","4,2","19,6",0,,
   140 g
  Orlando Tomate Frito,76,"3,5","0,4","9,3","1,3",6,"1,1",456,,
   100 g
 Pasa Bocas / Otros,301,"11,67","7,77","15,15",0,"14,94","34,05",12,,
  Optimum Nutrition 100% Whey Gold Standard,112,"0,87","0,57","1,35",0,"1,14","24,75",,,
   30 g
  Central Lechera Asturiana Leche UHT Entera,189,"10,8","7,2","13,8",0,"13,8","9,3",12,,
   300 ml

"viernes, septiembre 24, 2021",1299,"51,52","10,477","150,74","12,99","37,74","58,71","1468,1",21,100
 Desayuno,112,"1,09","0,69","1,78","0,59","1,18","23,59","73,04",,
  Optimum Nutrition Gold Standard Whey,112,"1,09","0,69","1,78","0,59","1,18","23,59","73,04",,
   30 g
 Almuerzo,1187,"50,43","9,787","148,96","12,4","36,56","35,12","1395,06",21,100
  Fabada,486,"26,52","3,47","44,81","9,7","1,05","19,1",714,21,
   300 g
  Panrico Donuts Normal,199,"11,52",,"20,64",,,"2,88",,,
"   1 unidad, 48 g"
  DIA Natillas,140,"3,6","2,4","22,5",,21,"4,4","0,06",,
"   1 tarrina, 125 g"
  Nestlé Chocolate con Leche,96,"5,5","3,2","10,4","0,3","10,2","1,1",,,
"   1 tira (5 cuadraditos), 17,8 g"
  Pan Blanco,266,"3,29","0,717","50,61","2,4","4,31","7,64",681,0,100
   100 g
 Cena,,,,,,,,,,
 Pasa Bocas / Otros,,,,,,,,,,

"domingo, septiembre 26, 2021",,,,,,,,,,
 Desayuno,,,,,,,,,,
 Almuerzo,,,,,,,,,,
 Cena,,,,,,,,,,
 Pasa Bocas / Otros,,,,,,,,,,

"lunes, septiembre 27, 2021",1547,"82,64","29,357","88,43","12,82","47,18","116,69","932,64",0,1283
 Desayuno,319,"22,4","6,985","15,53","1,3","3,03","14,07",310,0,88
  Pastoret Yoghourt Desnatado Edulcorado con Stevia,71,"0,16","0,16","8,99",,"0,31","8,52",310,,
   155 g
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
 Almuerzo,273,"9,7","6,481","27,46","3,6","24,38","22,1",47,0,942
  Galbani Mozzarella Light,165,9,"6,3",2,,1,19,,,
   100 g
  Tomates,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 g
  Melón ,90,"0,5","0,135","21,54","2,4","20,75","2,22",42,0,705
   264 g
 Cena,409,"19,27","9,721","18,01","1,6","15,99","41,61","335,64",0,253
  Carrefour Carne Picada de Vacuno,228,"15,84","7,68","0,96",,"0,96","20,28","0,28",,
   120 g
  Salsa de Tomate,29,"0,11","0,016","7,52","0,1","6,83","0,52",334,0,115
   2 cucharadas
  Calabacines Tiernos,6,"0,12","0,025","0,93","0,3",,"0,81",1,0,138
   30 g
  Carrefour Postre Lácteo al Cacao Proteína Plus,146,"3,2",2,"8,6","1,2","8,2",20,"0,36",,
   200 g
 Pasa Bocas / Otros,546,"31,27","6,17","27,43","6,32","3,78","38,91",240,,
  Optimum Nutrition 100% Whey Gold Standard,112,"0,87","0,57","1,35",0,"1,14","24,75",,,
   30 g
  Facundo Cocktail de Frutos Secos,434,"30,4","5,6","26,08","6,32","2,64","14,16",240,,
   80 g

"martes, septiembre 28, 2021",1438,"67,23","34,461","91,32","3,7","22,43","116,18","3365,36",0,325
 Desayuno,326,"22,41","6,995","16,4","1,3","3,06","14,9",340,0,88
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
  Pastoret Yoghourt Desnatado Edulcorado con Stevia,78,"0,17","0,17","9,86",,"0,34","9,35",340,,
   170 g
 Almuerzo,329,"12,4","8,346","14,52","2,4","11,83","39,88","5,36",0,237
  Galbani Mozzarella Light,165,9,"6,3",2,,1,19,,,
   100 g
  Tomates,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 g
  Carrefour Postre Lácteo al Cacao Proteína Plus,146,"3,2",2,"8,6","1,2","8,2",20,"0,36",,
   200 g
 Cena,671,"31,55","18,55","59,05",,"6,4","36,65",3020,,
  Telepizza Florentina,567,27,18,51,,6,"29,1",2700,,
   300 g
  Telepizza Delicias de Pollo,104,"4,55","0,55","8,05",,"0,4","7,55",320,,
   50 g
 Pasa Bocas / Otros,112,"0,87","0,57","1,35",0,"1,14","24,75",,,
  Optimum Nutrition 100% Whey Gold Standard,112,"0,87","0,57","1,35",0,"1,14","24,75",,,
   30 g

"miércoles, septiembre 29, 2021",1257,"48,2","21,973","115,14","15,98","50,37","85,54","2453,16",0,783
 Desayuno,335,"12,2",8,"25,6","1,2","10,2","29,7","900,36",,
  Telepizza Florentina,189,9,6,17,,2,"9,7",900,,
   100 g
  Carrefour Postre Lácteo al Cacao Proteína Plus,146,"3,2",2,"8,6","1,2","8,2",20,"0,36",,
   200 g
 Almuerzo,465,"20,35","8,896","40,48","5,3","9,79","27,6","734,28",0,115
  Hacendado Tortillas Integrales,208,"4,4","1,2",32,"5,2",2,"6,8",400,,
"   2 x 1 tortilla, 72 g"
  Carrefour Carne Picada de Vacuno,228,"15,84","7,68","0,96",,"0,96","20,28","0,28",,
   120 g
  Salsa de Tomate,29,"0,11","0,016","7,52","0,1","6,83","0,52",334,0,115
   2 cucharadas
 Cena,372,"15,17","4,949","28,66","7,28","10,73","26,14","778,52",0,
  Eroski Tostadas de Centeno y Sésamo,115,"2,28","0,33","17,4","4,5","0,81","3,9",132,,
   30 g
  Primaflor Guacamole,78,"7,31","1,03","1,29","1,38","0,6","0,64",645,,
   43 g
  Tomates Cherry,4,"0,04","0,009","0,78","0,2","0,53","0,18",1,0,
   20 g
  Eroski Queso para Untar Light,29,"2,34","1,58","0,59",0,"0,59","1,42","0,16",,
   18 g
  Carrefour Postre Lácteo al Cacao Proteína Plus,146,"3,2",2,"8,6","1,2","8,2",20,"0,36",,
   200 g
 Pasa Bocas / Otros,85,"0,48","0,128","20,4","2,2","19,65","2,1",40,0,668
  Melón ,85,"0,48","0,128","20,4","2,2","19,65","2,1",40,0,668
   250 g

"jueves, septiembre 30, 2021",822,"38,56","11,309","45,11","13,75","6,2","67,23","656,06",371,199
 Desayuno,317,"22,39","6,975","15,24","1,3","3,02","13,8",300,0,88
  Pastoret Yoghourt Desnatado Edulcorado con Stevia,69,"0,15","0,15","8,7",,"0,3","8,25",300,,
   150 g
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
 Almuerzo,393,"15,3","3,764","28,52","12,45","2,04","28,68","356,06",371,111
  Bonduelle Guisantes Tiernos y Muy Finos,34,"0,4","0,1","3,5","3,25","1,05","2,65",110,,
   50 g
  Luengo Garbanzos Cocidos,190,"3,8","0,8",24,"9,2",0,"10,8","1,06",,
   200 g
  Serrano Jamón Serrano,33,"1,8",,"0,03",,,"4,2",,,
   15 g
  Huevo Cocido,136,"9,3","2,864","0,99",0,"0,99","11,03",245,371,111
   2 medianos
 Cena,,,,,,,,,,
 Pasa Bocas / Otros,112,"0,87","0,57","1,35",0,"1,14","24,75",,,
  Optimum Nutrition 100% Whey Gold Standard,112,"0,87","0,57","1,35",0,"1,14","24,75",,,
   30 g

Total,45276,"2201,37","820,276","4030,89","365,11","1401,04","2148,27","54524,45",8077,23108
